first,last,qualification,final,gender
Qixin,ZHONG,24.510,17.960,M
Manuel,ESCOBAR,25.360,18.310,M
Sergei,SINITCYN,25.950,39.490,M
Evgenii,VAITSEKHOVSKII,24.280,fall,M
Lucas,PRETI,26.240,21.870,M
Alexander,KOSTERIN,25.060,21.950,M
Maksym,STYENKOVYY,25.190,22.230,M
Libor,HROZA,26.250,fall,M
Leonel,DE LAS SALAS,28.440,24.120,M
Alexander,PESHEKHONOV,27.590,24.630,M
Dmitrii,SHARAFUTDINOV,27.210,26.030,M
Lukasz,SWIRK,27.340,28.480,M
Olexiy,SHULGA,26.280,fall,M
Chi-wai,LAI,27.360,fall,M
Tomasz,OLEKSY,28.100,fall,M
Anatoly,SKRIPOV,28.530,fall,M
Tatiana,RUYGA,42.010,32.750,W
Edyta,ROPEK,40.690,32.900,W
Valentina,YURINA,43.130,34.710,W
Lai-sho,CHENG,41.640,41.870,W
Chunhua,LI,38.950,32.170,W
Svitlana,TUZHYLINA,39.780,37.160,W
Jenny,LAVARDA,49.570,45.400,W
Lucelia,BLANCO,47.810,fall,W
Francis,RODRIGUEZ,46.390,41.340,W
Tamara,ULZHABAYEVA,46.600,41.830,W
Yana,MALKOVA,49.070,42.790,W
Cuifang,HE,34.760,fall,W
Anna,STENKOVAYA,39.090,fall,W
Olena,RYEPKO,42.680,fall,W
Ganna,SAVCHENKO,43.560,fall,W
Olga,BEZHKO,47.770,fall,W
Evi,NELIWATI,51.170,none,W
Dinara,IRSALIYEVA,52.070,none,W
Yevgeniya,SOBOLEVA,53.030,none,W
Vera,ZIJLSTRA,56.280,none,W
Yana,CHERESHNEVA,57.400,none,W
Rosmery,DA SILVA,57.570,none,W
Katharina,SAURWEIN,60.130,none,W
Tomoko,OGAWA,60.160,none,W
Yekaterina,BOGOLYUBOVA,60.770,none,W
Paula,MENDEZ,63.330,none,W
Nina,CAPREZ,65.590,none,W
Lenke,KUCSERA,66.100,none,W
Radiana,MANEVA,68.010,none,W
Natalija,GROS,71.890,none,W
Stephanie,HOPKINS,72.080,none,W
Aliya,ISKAKOVA,77.050,none,W
Daniela,LOPEZ,78.110,none,W
Sarah,MATTHEWS,102.960,none,W
